"Test ID","Test Name","Preconditions","Test Steps","Expected Result","Actual Result","Pass/Fail Status","Severity"
"AUTH-01","Login with Valid Credentials (Mock Bypass)","User is on the login page.","Navigating to target login URL
Clearing any existing session storage for isolation
Entering valid email and password
Waiting for redirection to /dashboard
Verifying welcome header presence","User is redirected to the dashboard page, showing welcome banner.","Completed successfully","PASS","HIGH"
"AUTH-02","Session Persistence after Page Refresh","User is logged into the dashboard.","Triggering browser page refresh
Checking if still on /dashboard
Verifying welcome header still displays username","Authentication session persists after refresh and user remains on dashboard.","Completed successfully","PASS","HIGH"
"AUTH-03","Logout Functionality","User is logged in and on the dashboard.","Clicking Logout in the sidebar drawer
Waiting for redirection to /login
Verifying mock session is cleared from localStorage","Session is cleared from client-side storage, and user is redirected back to login page.","Completed successfully","PASS","HIGH"
"AUTH-04","Unauthorized Access after Logout","User is logged out.","Attempting direct navigation to /dashboard
Waiting for redirect to /login","Route protection blocks direct access and redirects unauthenticated user back to /login.","Completed successfully","PASS","HIGH"
"AUTH-05","Login Input Fields Empty Validations","User is on the login page.","Navigating to login URL
Submitting empty login form
Verifying email field is marked invalid / empty check","HTML5 required field constraints prevent form submission.","Completed successfully","PASS","HIGH"
"AUTH-06","Login Email Required Validation","User is on the login page.","1. Execute test assertions","Form submission is blocked because email field is empty and marked required.","Completed successfully","PASS","HIGH"
"AUTH-07","Login Password Required Validation","User is on the login page.","1. Execute test assertions","Form submission is blocked because password field is empty and marked required.","Completed successfully","PASS","HIGH"
"AUTH-08","Invalid Email Format Validation - Missing @ character","User is on the login page.","1. Execute test assertions","Email validation flags format as invalid.","Completed successfully","PASS","HIGH"
"AUTH-09","Invalid Email Format Validation - Missing Domain Name","User is on the login page.","1. Execute test assertions","Email validation blocks submission due to missing domain name.","Completed successfully","PASS","HIGH"
"AUTH-10","Invalid Email Format Validation - Leading Spaces","User is on the login page.","1. Execute test assertions","Email validation identifies leading space as invalid format.","Completed successfully","PASS","HIGH"
"AUTH-11","Invalid Email Format Validation - Special Characters in Domain","User is on the login page.","1. Execute test assertions","Special characters in domain are blocked.","Completed successfully","PASS","HIGH"
"AUTH-12","Invalid Email Format Validation - No dot in domain","User is on the login page.","1. Execute test assertions","Missing dot in domain is flagged by standard email validators.","Completed successfully","PASS","HIGH"
"AUTH-13","Register View - Navigate to Register Form","User is on login page.","1. Execute test assertions","User is redirected to the sign up page successfully.","Completed successfully","PASS","HIGH"
"AUTH-14","Register Form - Empty Name validation","User is on register page.","1. Execute test assertions","Sign up is blocked and username input is highlighted.","Completed successfully","PASS","HIGH"
"AUTH-15","Register Form - Empty Email validation","User is on register page.","1. Execute test assertions","Sign up is blocked and email input is highlighted.","Completed successfully","PASS","HIGH"
"AUTH-16","Register Form - Empty Password validation","User is on register page.","1. Execute test assertions","Sign up is blocked due to empty password.","Completed successfully","PASS","HIGH"
"AUTH-17","Register Form - Empty Confirm Password validation","User is on register page.","1. Execute test assertions","Sign up is blocked due to empty confirm password.","Completed successfully","PASS","HIGH"
"AUTH-18","Register Form - Password mismatch validation","User is on register page.","1. Execute test assertions","System shows alert indicating passwords do not match.","Completed successfully","PASS","HIGH"
"AUTH-19","Register Form - Short Password boundary check (<6 characters)","User is on register page.","1. Execute test assertions","Registration fails with a short password warning alert.","Completed successfully","PASS","HIGH"
"AUTH-20","Register Form - Invalid Email Format","User is on register page.","1. Execute test assertions","Email input block submits matching type=""email"".","Completed successfully","PASS","HIGH"
"AUTH-21","Register Form - Success Mock Registration Bypass","User is on register page.","1. Execute test assertions","New account registration mock bypass completes successfully and redirects user to dashboard.","Completed successfully","PASS","HIGH"
"AUTH-22","Forgot Password View - Navigate to Reset Request page","User is on login page.","1. Execute test assertions","User loads the forgot password instructions workspace view.","Completed successfully","PASS","HIGH"
"AUTH-23","Forgot Password - Empty Email validation","User is on Forgot Password page.","1. Execute test assertions","Field validation blocks forgot password submit.","Completed successfully","PASS","HIGH"
"AUTH-24","Forgot Password - Invalid Email format check","User is on Forgot Password page.","1. Execute test assertions","Email validation blocks malformed email input.","Completed successfully","PASS","HIGH"
"AUTH-25","Forgot Password - Back to Login link check","User is on Forgot Password page.","1. Execute test assertions","User returns to login view.","Completed successfully","PASS","HIGH"
